Study,Comparison,Metric,Bhattacharyya coefficient
AH2006,Morphy,Robinson-Foulds,0.4459379
AH2006,Anagallis,Robinson-Foulds,0.9327063
AH2006,Morphy,Quartet,0.347582
AH2006,Anagallis,Quartet,0.943885
A2019,Morphy,Robinson-Foulds,0
A2019,Anagallis,Robinson-Foulds,0
A2019,Morphy,Quartet,0
A2019,Anagallis,Quartet,0
CPRS2019,Morphy,Robinson-Foulds,0
CPRS2019,Morphy,Quartet,0
C2013,Morphy,Robinson-Foulds,0.6619211
C2013,Anagallis,Robinson-Foulds,0.8402228
C2013,Morphy,Quartet,0.4925949
C2013,Anagallis,Quartet,0.8342182
C2020,Morphy,Robinson-Foulds,0.5475178
C2020,Anagallis,Robinson-Foulds,0.9976435
C2020,Morphy,Quartet,0.5137654
C2020,Anagallis,Quartet,0.972679
D2016,Morphy,Robinson-Foulds,0.5773503
D2016,Anagallis,Robinson-Foulds,1
D2016,Morphy,Quartet,0.5773503
D2016,Anagallis,Quartet,1
dL2020,Morphy,Robinson-Foulds,0
dL2020,Anagallis,Robinson-Foulds,0
dL2020,Morphy,Quartet,0
dL2020,Anagallis,Quartet,0
E2014,Morphy,Robinson-Foulds,0
E2014,Anagallis,Robinson-Foulds,0
E2014,Morphy,Quartet,0
E2014,Anagallis,Quartet,0
FM2012,Morphy,Robinson-Foulds,1
FM2012,Anagallis,Robinson-Foulds,1
FM2012,Morphy,Quartet,0.4925949
FM2012,Anagallis,Quartet,0.8342182
L2020,Morphy,Robinson-Foulds,0.6366406
L2020,Anagallis,Robinson-Foulds,0.4502684
L2020,Morphy,Quartet,0.6537421
L2020,Anagallis,Quartet,0.4785662
L2015,Morphy,Robinson-Foulds,0
L2015,Morphy,Quartet,0
R2014,Morphy,Robinson-Foulds,0
R2014,Morphy,Quartet,0
T2003,Morphy,Robinson-Foulds,0
T2003,Anagallis,Robinson-Foulds,0
T2003,Morphy,Quartet,0
T2003,Anagallis,Quartet,0